ISO3Code,UNCode,OfficialName,UNICEFReportRegion1,UNICEFReportRegion2,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion5,M49Region1,M49Region2,M49Region3,WBRegion4,UNICEFRegion,SDGRegion,M49Region,SDGRegionrev1,SDGRegionrev2,GBDRegion1,GBDRegion,sdg,unicef,gbd,m49,wb,sdg.rev1,sdg.rev2,SDGRegion3,SDGRegionrev3,sdg.rev3
AFG,4,Afghanistan,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Low income,South Asia,Central Asia and Southern Asia,Asia,Southern Asia,Southern Asia,North Africa and Middle East,North Africa and Middle East,1,1,1,1,1,1,1,Southern Asia (MDG=M49),Southern Asia,6
AGO,24,Angola,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Central Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2,Middle Africa (M49),Sub-Saharan Africa,7
ALB,8,Albania,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
AND,20,Andorra,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
ARE,784,United Arab Emirates,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,4,4,4,Western Asia (M49),Western Asia and Northern Africa,8
ARG,32,Argentina,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Southern Latin America,High income,5,6,4,4,3,5,5,South America (M49),Latin America and the Caribbean,3
ARM,51,Armenia,Europe and Central Asia,Eastern Europe and Central Asia,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Upper middle income,Eastern Europe and Central Asia,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,Central Asia,"Central Europe, Eastern Europe,Central Asia",4,3,3,1,3,4,4,Western Asia (M49),Western Asia and Northern Africa,8
ATG,28,Antigua and Barbuda,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,4,5,5,Caribbean (M49),Latin America and the Caribbean,3
AUS,36,Australia,East Asia and Pacific,,Oceania,Australia and New Zealand,"North America, Europe, Australia and New Zealand",Oceania,Australia and New Zealand,,High income,East Asia and Pacific,Australia and New Zealand,Oceania,"Northern America, Australia and New Zealand, Central Asia and Europe",Oceania,Australasia,High income,6,7,4,5,4,3,6,Australia and New Zealand (M49),Oceania,5
AUT,40,Austria,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Western Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Western Europe (M49),"Northern America, Central Asia and Europe",4
AZE,31,Azerbaijan,Europe and Central Asia,Eastern Europe and Central Asia,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Upper middle income,Eastern Europe and Central Asia,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,Central Asia,"Central Europe, Eastern Europe,Central Asia",4,3,3,1,3,4,4,Western Asia (M49),Western Asia and Northern Africa,8
BDI,108,Burundi,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
BEL,56,Belgium,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Western Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Western Europe (M49),"Northern America, Central Asia and Europe",4
BEN,204,Benin,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Western Africa (M49),Sub-Saharan Africa,7
BFA,854,Burkina Faso,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Western Africa (M49),Sub-Saharan Africa,7
BGD,50,Bangladesh,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Lower middle income,South Asia,Central Asia and Southern Asia,Asia,Southern Asia,Southern Asia,South Asia,South Asia,1,1,6,1,2,1,1,Southern Asia (MDG=M49),Southern Asia,6
BGR,100,Bulgaria,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
BHR,48,Bahrain,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,4,4,4,Western Asia (M49),Western Asia and Northern Africa,8
BHS,44,Bahamas,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,4,5,5,Caribbean (M49),Latin America and the Caribbean,3
BIH,70,Bosnia and Herzegovina,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
BLR,112,Belarus,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Eastern Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
BLZ,84,Belize,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Central America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,3,5,5,Central America (M49),Latin America and the Caribbean,3
BOL,68,Bolivia (Plurinational State of),Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Lower middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Andean Latin America,Latin America & Caribbean,5,6,5,4,2,5,5,South America (M49),Latin America and the Caribbean,3
BRA,76,Brazil,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Tropical Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,South America (M49),Latin America and the Caribbean,3
BRB,52,Barbados,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,4,5,5,Caribbean (M49),Latin America and the Caribbean,3
BRN,96,Brunei Darussalam,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,High income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,High-income Asia Pacific,High income,7,7,4,1,4,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
BTN,64,Bhutan,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Lower middle income,South Asia,Central Asia and Southern Asia,Asia,Southern Asia,Southern Asia,South Asia,South Asia,1,1,6,1,2,1,1,Southern Asia (MDG=M49),Southern Asia,6
BWA,72,Botswana,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Southern Africa,,Upper middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,3,2,2,Southern Africa (M49),Sub-Saharan Africa,7
CAF,140,Central African Republic,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Central Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Middle Africa (M49),Sub-Saharan Africa,7
CAN,124,Canada,North America,,Northern America and Europe,Northern America,"North America, Europe, Australia and New Zealand",Americas,Northern America,,High income,North America,Northern America and Europe,Northern America,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",High-income North America,High income,3,9,4,6,4,3,3,Northern America (M49),"Northern America, Central Asia and Europe",4
CHE,756,Switzerland,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Western Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Western Europe (M49),"Northern America, Central Asia and Europe",4
CHL,152,Chile,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Southern Latin America,High income,5,6,4,4,4,5,5,South America (M49),Latin America and the Caribbean,3
CHN,156,China,East Asia and Pacific,,Eastern Asia and South-eastern Asia,Eastern Asia,,Asia,Eastern Asia,,Upper middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,East Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,3,6,7,Eastern Asia (M49),Eastern Asia and South-eastern Asia,1
CIV,384,Cote d'Ivoire,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Lower middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,2,2,2,Western Africa (M49),Sub-Saharan Africa,7
CMR,120,Cameroon,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Lower middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,2,2,2,Middle Africa (M49),Sub-Saharan Africa,7
COD,180,Democratic Republic of the Congo,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Central Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Middle Africa (M49),Sub-Saharan Africa,7
COG,178,Congo,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Lower middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Central Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,2,2,2,Middle Africa (M49),Sub-Saharan Africa,7
COK,184,Cook Islands,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Polynesia,,,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,NA,6,6,Polynesia (M49),Oceania,5
COL,170,Colombia,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Central Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,South America (M49),Latin America and the Caribbean,3
COM,174,Comoros,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
CPV,132,Cabo Verde,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Lower middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,2,2,2,Western Africa (M49),Sub-Saharan Africa,7
CRI,188,Costa Rica,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Central America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Central Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,Central America (M49),Latin America and the Caribbean,3
CUB,192,Cuba,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,3,5,5,Caribbean (M49),Latin America and the Caribbean,3
CYP,196,Cyprus,Europe and Central Asia,Western Europe,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Western Europe,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,Western Europe,High income,4,4,4,1,4,4,4,Western Asia (M49),Western Asia and Northern Africa,8
CZE,203,Czechia,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,4,3,3,4,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
DEU,276,Germany,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Western Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Western Europe (M49),"Northern America, Central Asia and Europe",4
DJI,262,Djibouti,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
DMA,212,Dominica,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,3,5,5,Caribbean (M49),Latin America and the Caribbean,3
DNK,208,Denmark,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
DOM,214,Dominican Republic,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,3,5,5,Caribbean (M49),Latin America and the Caribbean,3
DZA,12,Algeria,Middle East and North Africa,,Western Asia and Northern Africa,Northern Africa,,Africa,Northern Africa,,Upper middle income,Middle East and North Africa,Western Asia and Northern Africa,Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,2,3,4,4,Northern Africa (M49),Western Asia and Northern Africa,8
ECU,218,Ecuador,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Andean Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,South America (M49),Latin America and the Caribbean,3
EGY,818,Egypt,Middle East and North Africa,,Western Asia and Northern Africa,Northern Africa,,Africa,Northern Africa,,Lower middle income,Middle East and North Africa,Western Asia and Northern Africa,Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,2,2,4,4,Northern Africa (M49),Western Asia and Northern Africa,8
ERI,232,Eritrea,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
ESP,724,Spain,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
EST,233,Estonia,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Eastern Europe,"Central Europe, Eastern Europe,Central Asia",3,4,3,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
ETH,231,Ethiopia,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
FIN,246,Finland,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
FJI,242,Fiji,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Melanesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6,Melanesia (M49),Oceania,5
FRA,250,France,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Western Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Western Europe (M49),"Northern America, Central Asia and Europe",4
FSM,583,Micronesia (Federated States of),East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Micronesia,,Lower middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,2,6,6,Micronesia (M49),Oceania,5
GAB,266,Gabon,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Upper middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Central Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,3,2,2,Middle Africa (M49),Sub-Saharan Africa,7
GBR,826,United Kingdom,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
GEO,268,Georgia,Europe and Central Asia,Eastern Europe and Central Asia,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Upper middle income,Eastern Europe and Central Asia,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,Central Asia,"Central Europe, Eastern Europe,Central Asia",4,3,3,1,3,4,4,Western Asia (M49),Western Asia and Northern Africa,8
GHA,288,Ghana,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Lower middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,2,2,2,Western Africa (M49),Sub-Saharan Africa,7
GIN,324,Guinea,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Western Africa (M49),Sub-Saharan Africa,7
