ISO3Code,UNCode,OfficialName,UNICEFReportRegion1,UNICEFReportRegion2,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion5,M49Region1,M49Region2,M49Region3,WBRegion4,UNICEFRegion,SDGRegion,M49Region,SDGRegionrev1,SDGRegionrev2,GBDRegion1,GBDRegion,sdg,unicef,gbd,m49,wb,sdg.rev1,sdg.rev2,SDGRegion3,SDGRegionrev3,sdg.rev3
NOR,578,Norway,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
NPL,524,Nepal,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Low income,South Asia,Central Asia and Southern Asia,Asia,Southern Asia,Southern Asia,South Asia,South Asia,1,1,6,1,1,1,1,Southern Asia (MDG=M49),Southern Asia,6
NRU,520,Nauru,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Micronesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6,Micronesia (M49),Oceania,5
NZL,554,New Zealand,East Asia and Pacific,,Oceania,Australia and New Zealand,"North America, Europe, Australia and New Zealand",Oceania,Australia and New Zealand,,High income,East Asia and Pacific,Australia and New Zealand,Oceania,"Northern America, Australia and New Zealand, Central Asia and Europe",Oceania,Australasia,High income,6,7,4,5,4,3,6,Australia and New Zealand (M49),Oceania,5
OMN,512,Oman,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,4,4,4,Western Asia (M49),Western Asia and Northern Africa,8
PAK,586,Pakistan,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Lower middle income,South Asia,Central Asia and Southern Asia,Asia,Southern Asia,Southern Asia,South Asia,South Asia,1,1,6,1,2,1,1,Southern Asia (MDG=M49),Southern Asia,6
PAN,591,Panama,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Central America,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Central Latin America,Latin America & Caribbean,5,6,5,4,4,5,5,Central America (M49),Latin America and the Caribbean,3
PER,604,Peru,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Andean Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,South America (M49),Latin America and the Caribbean,3
PHL,608,Philippines,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
PLW,585,Palau,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Micronesia,,High income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,4,6,6,Micronesia (M49),Oceania,5
PNG,598,Papua New Guinea,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Melanesia,,Lower middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,2,6,6,Melanesia (M49),Oceania,5
POL,616,Poland,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,4,3,3,4,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
PRK,408,Democratic People's Republic of Korea,East Asia and Pacific,,Eastern Asia and South-eastern Asia,Eastern Asia,,Asia,Eastern Asia,,Low income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,East Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,1,6,7,Eastern Asia (M49),Eastern Asia and South-eastern Asia,1
PRT,620,Portugal,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
PRY,600,Paraguay,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Tropical Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,South America (M49),Latin America and the Caribbean,3
PSE,275,State of Palestine,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Lower middle income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,2,4,4,Western Asia (M49),Western Asia and Northern Africa,8
QAT,634,Qatar,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,4,4,4,Western Asia (M49),Western Asia and Northern Africa,8
ROU,642,Romania,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
RUS,643,Russian Federation,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Eastern Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
RWA,646,Rwanda,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
SAU,682,Saudi Arabia,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,4,4,4,Western Asia (M49),Western Asia and Northern Africa,8
SDN,729,Sudan,Sub-Saharan Africa,Eastern and Southern Africa,Western Asia and Northern Africa,Northern Africa,,Africa,Northern Africa,,Lower middle income,Eastern and Southern Africa,Western Asia and Northern Africa,Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,2,1,2,2,4,4,Northern Africa (M49),Western Asia and Northern Africa,8
SEN,686,Senegal,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Lower middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,2,2,2,Western Africa (M49),Sub-Saharan Africa,7
SGP,702,Singapore,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,High income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,High-income Asia Pacific,High income,7,7,4,1,4,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
SLB,90,Solomon Islands,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Melanesia,,Lower middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,2,6,6,Melanesia (M49),Oceania,5
SLE,694,Sierra Leone,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Western Africa (M49),Sub-Saharan Africa,7
SLV,222,El Salvador,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Central America,Lower middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Central Latin America,Latin America & Caribbean,5,6,5,4,2,5,5,Central America (M49),Latin America and the Caribbean,3
SMR,674,San Marino,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
SOM,706,Somalia,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
SRB,688,Serbia,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
SSD,728,South Sudan,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
STP,678,Sao Tome and Principe,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Lower middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,2,2,2,Middle Africa (M49),Sub-Saharan Africa,7
SUR,740,Suriname,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,3,5,5,South America (M49),Latin America and the Caribbean,3
SVK,703,Slovakia,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,4,3,3,4,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
SVN,705,Slovenia,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,4,3,3,4,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
SWE,752,Sweden,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
SWZ,748,Eswatini,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Southern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2,Southern Africa (M49),Sub-Saharan Africa,7
SYC,690,Seychelles,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,High income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southeast Asia,"Southeast Asia, East Asia, Oceania",2,2,7,2,4,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
SYR,760,Syrian Arab Republic,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Low income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,1,4,4,Western Asia (M49),Western Asia and Northern Africa,8
TCD,148,Chad,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Middle Africa (M49),Sub-Saharan Africa,7
TGO,768,Togo,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Western Africa (M49),Sub-Saharan Africa,7
THA,764,Thailand,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Upper middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,3,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
TJK,762,Tajikistan,Europe and Central Asia,Eastern Europe and Central Asia,Central Asia and Southern Asia,Central Asia,,Asia,Central Asia,,Low income,Eastern Europe and Central Asia,Central Asia and Southern Asia,Asia,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Asia,"Central Europe, Eastern Europe,Central Asia",1,3,3,1,1,3,3,Central Asia (M49),Eastern Europe and Central Asia,2
TKM,795,Turkmenistan,Europe and Central Asia,Eastern Europe and Central Asia,Central Asia and Southern Asia,Central Asia,,Asia,Central Asia,,Upper middle income,Eastern Europe and Central Asia,Central Asia and Southern Asia,Asia,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Asia,"Central Europe, Eastern Europe,Central Asia",1,3,3,1,3,3,3,Central Asia (M49),Eastern Europe and Central Asia,2
TLS,626,Timor-Leste,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
TON,776,Tonga,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Polynesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6,Polynesia (M49),Oceania,5
TTO,780,Trinidad and Tobago,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,4,5,5,Caribbean (M49),Latin America and the Caribbean,3
TUN,788,Tunisia,Middle East and North Africa,,Western Asia and Northern Africa,Northern Africa,,Africa,Northern Africa,,Lower middle income,Middle East and North Africa,Western Asia and Northern Africa,Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,2,2,4,4,Northern Africa (M49),Western Asia and Northern Africa,8
TUR,792,Trkiye,Europe and Central Asia,Eastern Europe and Central Asia,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Upper middle income,Eastern Europe and Central Asia,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,3,1,1,3,4,4,Western Asia (M49),Western Asia and Northern Africa,8
TUV,798,Tuvalu,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Polynesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6,Polynesia (M49),Oceania,5
TZA,834,United Republic of Tanzania,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
UGA,800,Uganda,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
UKR,804,Ukraine,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,Lower middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Eastern Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,2,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
URY,858,Uruguay,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Southern Latin America,High income,5,6,4,4,4,5,5,South America (M49),Latin America and the Caribbean,3
USA,840,United States of America,North America,,Northern America and Europe,Northern America,"North America, Europe, Australia and New Zealand",Americas,Northern America,,High income,North America,Northern America and Europe,Northern America,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",High-income North America,High income,3,9,4,6,4,3,3,Northern America (M49),"Northern America, Central Asia and Europe",4
UZB,860,Uzbekistan,Europe and Central Asia,Eastern Europe and Central Asia,Central Asia and Southern Asia,Central Asia,,Asia,Central Asia,,Lower middle income,Eastern Europe and Central Asia,Central Asia and Southern Asia,Asia,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Asia,"Central Europe, Eastern Europe,Central Asia",1,3,3,1,2,3,3,Central Asia (M49),Eastern Europe and Central Asia,2
VCT,670,Saint Vincent and the Grenadines,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,3,5,5,Caribbean (M49),Latin America and the Caribbean,3
VEN,862,Venezuela (Bolivarian Republic of),Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Central Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,South America (M49),Latin America and the Caribbean,3
VNM,704,Viet Nam,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
VUT,548,Vanuatu,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Melanesia,,Lower middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,2,6,6,Melanesia (M49),Oceania,5
WSM,882,Samoa,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Polynesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6,Polynesia (M49),Oceania,5
YEM,887,Yemen,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Low income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,1,4,4,Western Asia (M49),Western Asia and Northern Africa,8
ZAF,710,South Africa,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Southern Africa,,Upper middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,3,2,2,Southern Africa (M49),Sub-Saharan Africa,7
ZMB,894,Zambia,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
ZWE,716,Zimbabwe,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
