,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
1,EAP,2000,0.082114624,0.087252271,0.093470923,31594467,2594367.775,2756689,2953164
2,EAP,2001,0.083327179,0.088123455,0.093864434,30601989,2549977.4,2696753,2872438.375
3,EAP,2002,0.083506908,0.08804033,0.093397757,30376249,2536626.625,2674335,2837073.525
4,EAP,2003,0.083495396,0.087762816,0.09277185,30190884,2520799.825,2649637,2800864.15
5,EAP,2004,0.082968479,0.087032575,0.091708119,30441487,2525683.875,2649401,2791731.525
6,EAP,2005,0.082579721,0.086427341,0.090813698,30622231,2528775.3,2646598,2780918.05
7,EAP,2006,0.082200043,0.08588603,0.090028995,30998266,2548058.8,2662318,2790742.725
8,EAP,2007,0.081663396,0.085209879,0.089152833,31549851,2576467.975,2688359,2812758.6
9,EAP,2008,0.080989231,0.084433808,0.088252916,32105848,2600227.95,2710819,2833434.7
10,EAP,2009,0.08044048,0.083867982,0.087655905,32375335,2604287.475,2715254,2837889.3
11,EAP,2010,0.08018237,0.083602386,0.087384618,32199990,2581871.525,2691996,2813783.825
12,EAP,2011,0.079808125,0.083263892,0.087107765,32155331,2566256.675,2677378,2800979.025
13,EAP,2012,0.078221351,0.081796762,0.085821353,33646674,2631888.3,2752189,2887603.1
14,EAP,2013,0.078678171,0.082413224,0.086597515,32569057,2562473.85,2684121,2820399.4
15,EAP,2014,0.077664845,0.081553002,0.085948188,32919671,2556701.15,2684698,2829386.075
16,EAP,2015,0.078194365,0.082278873,0.08691389,31539360,2466200.225,2595023,2741208.475
17,EAP,2016,0.076695084,0.080984951,0.085899956,32208132,2470205.4,2608374,2766677.125
18,EAP,2017,0.075894627,0.080465057,0.085683095,32140063,2439258.1,2586152,2753860.075
19,EAP,2018,0.078399599,0.083241569,0.088855685,29088159,2280500,2421344,2584648.3
20,EAP,2019,0.07900062,0.084157022,0.090109383,28090395,2219158.625,2364004,2531208.15
21,EAP,2020,0.081894389,0.087420719,0.093842983,25615495,2097765.3,2239325,2403834.45
22,ECA,2000,0.080680384,0.083354478,0.086465065,10120584,816532.6,843596,875076.95
23,ECA,2001,0.080845481,0.083455024,0.086472578,10085684,815381.975,841701,872135.1
24,ECA,2002,0.079937639,0.082408433,0.085267849,10040538,802616.9,827425,856135.075
25,ECA,2003,0.079339883,0.081705657,0.084413824,10124403,803268.95,827221,854639.575
26,ECA,2004,0.079017777,0.081260819,0.083801538,10290199,813108.65,836190,862334.5
27,ECA,2005,0.078861731,0.080968067,0.083350551,10348907,816132.725,837931,862587.1
28,ECA,2006,0.078535777,0.080532872,0.082780502,10561414,829448.85,850541,874279.15
29,ECA,2007,0.078027596,0.079953296,0.082107359,10820542,844300.875,865138,888446.125
30,ECA,2008,0.077653656,0.079499664,0.081540831,11185758,868615,889264,912096
31,ECA,2009,0.077483941,0.079269561,0.081234391,11282414,874205.9,894352,916520.025
32,ECA,2010,0.077311237,0.079051891,0.080972787,11322917,875388.725,895098,916848.15
33,ECA,2011,0.0772166,0.078955597,0.080880205,11270360,870258.875,889858,911549.025
34,ECA,2012,0.077015542,0.078758502,0.080697996,11372550,875863.1,895685,917742
35,ECA,2013,0.076893517,0.078663947,0.080652181,11303717,869182.55,889195,911669.425
36,ECA,2014,0.076740278,0.078545497,0.080565603,11430216,877157.95,897792,920882.25
37,ECA,2015,0.076460196,0.078334656,0.080442715,11409701,872387.975,893775,917827.325
38,ECA,2016,0.076133896,0.078073955,0.080229923,11351596,864241.225,886264,910737.675
39,ECA,2017,0.075857818,0.077895266,0.080151173,10967239,831950.825,854296,879037.075
40,ECA,2018,0.075228052,0.077301369,0.079608173,10723083,806676.65,828909,853645.05
41,ECA,2019,0.074562775,0.07669072,0.079071465,10415693,776622.975,798787,823584.1
42,ECA,2020,0.074034586,0.076249378,0.078743091,10232713,757574.675,780238,805755.45
43,Global,2000,0.154943544,0.16568994,0.178799842,133504623,20685679.43,22120373,23870605.48
44,Global,2001,0.155559565,0.166229841,0.179225567,133389462,20750006.73,22173309,23906802
45,Global,2002,0.154893644,0.165452548,0.178330615,133549874,20686026.65,22096167,23816031.23
46,Global,2003,0.153889733,0.16429444,0.177056127,133850890,20598277.7,21990957,23699120.18
47,Global,2004,0.152461819,0.162645707,0.175209505,134782654,20549208.58,21921820,23615202.08
48,Global,2005,0.150831263,0.160839556,0.173252295,135358158,20416241.98,21770946,23451111.53
49,Global,2006,0.149015523,0.158875133,0.171190148,136472931,20336585.15,21682155,23362821.2
50,Global,2007,0.147312881,0.157097894,0.169400958,138128198,20348062.85,21699649,23399049.13
51,Global,2008,0.145751102,0.15538529,0.167512531,139736084,20366688.23,21712932,23407545.05
52,Global,2009,0.144573706,0.154212737,0.166412823,140784577,20353747.98,21710775,23428358.93
53,Global,2010,0.143438929,0.153210367,0.165504428,141227088,20257462.2,21637454,23373708.45
54,Global,2011,0.142369969,0.152135806,0.164560106,141711801,20175504.75,21559439,23320108.98
55,Global,2012,0.140266473,0.150010297,0.162396023,143747006,20162885.55,21563531,23343942.1
56,Global,2013,0.139813306,0.149692176,0.16225471,142976771,19990055.08,21402504,23198654.53
57,Global,2014,0.137769549,0.147607306,0.160129328,143230932,19732860.93,21141932,22935472.88
58,Global,2015,0.137647842,0.14756105,0.160182729,142172491,19569736.55,20979122,22773577.6
59,Global,2016,0.136364972,0.146215251,0.158822778,142813023,19474693.9,20881442,22681961.08
60,Global,2017,0.135105958,0.145056195,0.157816226,142218173,19214522.5,20629627,22444335.3
61,Global,2018,0.136264734,0.146457713,0.159596593,139242711,18973871,20393169,22222662.23
62,Global,2019,0.135821334,0.146201805,0.159629549,137605292,18689734.3,20118142,21965870.7
63,Global,2020,0.136553011,0.147171562,0.161072625,134767014,18402841.5,19833872,21707276.7
64,LAC,2000,0.090148074,0.093006443,0.096411526,11511181,1037710.8,1070614,1109810.525
65,LAC,2001,0.090632836,0.093411082,0.096734695,11401463,1033346.925,1065023,1102917.05
66,LAC,2002,0.091052137,0.09377273,0.097011956,11276626,1026760.9,1057440,1093967.55
67,LAC,2003,0.091405521,0.094104928,0.097306309,11132467,1017568.95,1047620,1083259.275
68,LAC,2004,0.091595394,0.094240724,0.097390887,11093548,1016117.9,1045464,1080410.475
69,LAC,2005,0.091649961,0.094270701,0.097424136,11047197,1012475.175,1041427,1076263.625
70,LAC,2006,0.091691821,0.094342434,0.097495947,10957964,1004755.675,1033801,1068357.075
71,LAC,2007,0.091735225,0.094397821,0.097605218,10880802,998152.825,1027124,1062023.05
72,LAC,2008,0.091758869,0.094486301,0.097754141,10824257,993221.575,1022744,1058115.95
73,LAC,2009,0.091783748,0.094569797,0.097943008,10815673,992703,1022836,1059319.55
74,LAC,2010,0.091764055,0.094651739,0.098128157,10790610,990190.125,1021350,1058862.675
75,LAC,2011,0.091748685,0.094750144,0.09834256,10790105,989977.95,1022364,1061126.55
76,LAC,2012,0.091784736,0.094902606,0.098616669,10717124,983668.4,1017083,1056887.075
77,LAC,2013,0.091757217,0.094998334,0.098871819,10661208,978242.775,1012797,1054093.025
78,LAC,2014,0.091779856,0.095105079,0.099098736,10635678,976141,1011507,1053982.25
79,LAC,2015,0.091863424,0.095259073,0.099362504,10575717,971521.575,1007433,1050829.725
80,LAC,2016,0.092046997,0.095606235,0.099931878,10365893,954149.325,991044,1035883.15
81,LAC,2017,0.09209355,0.095765907,0.100240557,10320416,950443.75,988344,1034524.25
82,LAC,2018,0.092168636,0.09594847,0.100564901,10218610,941835.35,980460,1027633.5
83,LAC,2019,0.092258746,0.096117273,0.100829745,9990119,921675.85,960223,1007301.15
84,LAC,2020,0.092293832,0.096323254,0.101227751,9804756,904918.5,944426,992513.4
85,MENA,2000,0.100507247,0.125669765,0.16123954,7938043,797830.85,997572,1279926.4
86,MENA,2001,0.100599747,0.125900633,0.161642518,8022970,807108.75,1010097,1296853.075
87,MENA,2002,0.100758583,0.126106253,0.161953061,8085404,814673.85,1019620,1309455.925
88,MENA,2003,0.100833379,0.126170134,0.162134568,8197352,826566.7,1034261,1329074.125
89,MENA,2004,0.100755089,0.12605714,0.162046321,8319148,838196.5,1048688,1348087.325
90,MENA,2005,0.10071956,0.126023959,0.162097037,8469580,853052.375,1067370,1372893.825
91,MENA,2006,0.100519347,0.125798632,0.161845182,8680468,872554.975,1091991,1404891.925
92,MENA,2007,0.100483018,0.125859744,0.16202297,8948159,899138.025,1126213,1449807.3
93,MENA,2008,0.100473545,0.125852122,0.162025211,9190731,923425.325,1156673,1489130.125
94,MENA,2009,0.100658199,0.125917978,0.161929381,9424651,948668.4,1186733,1526127.9
95,MENA,2010,0.100980747,0.12633603,0.162487107,9735560,983104.125,1229952,1581902.975
96,MENA,2011,0.101277911,0.126623504,0.16291747,10002748,1013057.425,1266583,1629622.4
97,MENA,2012,0.101680736,0.127153562,0.163837251,10253303,1042563.4,1303744,1679872.975
98,MENA,2013,0.102014931,0.127696208,0.164643818,10449167,1065971.05,1334319,1720390.75
99,MENA,2014,0.102388015,0.127995409,0.16489881,10562496,1081473,1351951,1741743.025
100,MENA,2015,0.102646166,0.128301553,0.165192154,10556622,1083596.775,1354431,1743871.125
101,MENA,2016,0.102500342,0.127855847,0.164188066,10327146,1058536,1320386,1695594.125
102,MENA,2017,0.102599157,0.128040578,0.164358408,10278554,1054570.975,1316072,1689366.775
103,MENA,2018,0.102829923,0.12828658,0.164629088,10145426,1043253.375,1301522,1670232.225
104,MENA,2019,0.103205317,0.128469748,0.164484551,9943337,1026205.25,1277418,1635525.325
105,MENA,2020,0.103458729,0.128900088,0.165084287,9876541,1021814.375,1273087,1630461.725
106,NA,2000,0.075278683,0.07692605,0.078616141,4398003,331075.875,338321,345754.025
107,NA,2001,0.075569617,0.077094714,0.07866099,4374165,330553.975,337225,344076.15
108,NA,2002,0.07592418,0.077342257,0.078797869,4369332,331737.95,337934,344294.05
109,NA,2003,0.076273893,0.077586501,0.078930332,4433181,338135.975,343955,349912.45
110,NA,2004,0.076628035,0.077845865,0.07909353,4458811,341669.925,347100,352663.1
111,NA,2005,0.076958001,0.078086769,0.079232183,4501454,346422.9,351504,356660.025
112,NA,2006,0.077336467,0.07838511,0.079456882,4624118,357612.95,362462,367418
113,NA,2007,0.077681741,0.078663985,0.079659064,4688270,364192.975,368798,373463.2
114,NA,2008,0.078024908,0.078959507,0.079894741,4637339,361827.95,366162,370499
115,NA,2009,0.078367296,0.079274442,0.080170542,4526339,354716.95,358823,362879.05
116,NA,2010,0.078623922,0.079522676,0.080408276,4409497,346691.95,350655,354560.05
117,NA,2011,0.078818809,0.079725878,0.080621698,4360253,343669.95,347625,351531
118,NA,2012,0.078954925,0.079881174,0.08080306,4360652,344294.95,348334,352354.025
119,NA,2013,0.079056626,0.080038329,0.081005989,4342457,343300,347563,351765.025
120,NA,2014,0.079134334,0.080174487,0.081217121,4382217,346783.825,351342,355911.05
121,NA,2015,0.079186895,0.080317878,0.081448386,4367085,345815.9,350755,355692.025
122,NA,2016,0.079220694,0.080439647,0.08166852,4326747,342767.9,348042,353359.025
123,NA,2017,0.079198698,0.080516952,0.081858071,4243566,336084.9,341679,347370.125
124,NA,2018,0.079256419,0.080689834,0.082146974,4170513,330539.925,336518,342595.025
125,NA,2019,0.079363647,0.080914552,0.082496512,4120223,326995.925,333386,339904.025
126,NA,2020,0.079438572,0.081114408,0.082810772,4040996,321010.95,327783,334638
127,SA,2000,0.259173591,0.29374646,0.334471691,39978909,10361477.4,11743663,13371813.3
128,SA,2001,0.25816999,0.292183731,0.332323557,40305112,10405570.35,11776498,13394338.18
129,SA,2002,0.256618122,0.290202644,0.330116485,40199427,10315901.48,11665980,13270493.53
130,SA,2003,0.254846674,0.287997268,0.327920837,39964386,10184790.85,11509634,13105154.93
131,SA,2004,0.252989915,0.285694052,0.325632751,39713599,10047140.03,11345939,12932048.5
132,SA,2005,0.250980269,0.283316743,0.323406824,39168197,9830444.6,11097006,12667262.18
133,SA,2006,0.248420232,0.280731421,0.321247312,38743319,9624624.3,10876467,12446187.1
134,SA,2007,0.245469548,0.278095883,0.319260208,38644639,9486082.05,10746915,12337695.48
135,SA,2008,0.243434374,0.275999738,0.317223328,38419964,9352739.9,10603900,12187708.83
136,SA,2009,0.241000597,0.273804726,0.315590086,38391609,9252400.675,10511804,12116011.2
137,SA,2010,0.238107529,0.271499564,0.31418761,38176205,9090041.85,10364823,11994490.6
138,SA,2011,0.235577047,0.269241559,0.312732684,37937609,8937229.9,10214381,11864330.28
139,SA,2012,0.232651911,0.26687182,0.311271426,37723095,8776350.125,10067231,11742121.58
140,SA,2013,0.230089814,0.264596636,0.309318211,37482079,8624244.575,9917632,11593889.63
141,SA,2014,0.226745749,0.261970157,0.3074943,36580953,8294575.6,9583118,11248434.55
142,SA,2015,0.224497274,0.259822117,0.305404996,36438757,8180401.625,9467595,11128578.45
143,SA,2016,0.222325711,0.25749022,0.30337747,36386648,8089687.375,9369206,11038889.2
144,SA,2017,0.219101428,0.254878235,0.301701062,35818794,7847948.925,9129431,10806568.2
145,SA,2018,0.216770128,0.25273609,0.300069059,35789942,7758190.325,9045410,10739454.2
146,SA,2019,0.213687448,0.250535261,0.299008743,35267403,7536201.35,8835728,10545261.83
147,SA,2020,0.211214197,0.248679447,0.298334785,34856029,7362088.175,8667978,10398765.93
148,SSA,2000,0.140720073,0.15627257,0.175353779,27963436,3935016.75,4369918,4903494.175
149,SSA,2001,0.139966005,0.155465407,0.174412475,28598079,4002758.875,4446012,4987861.75
150,SSA,2002,0.139141518,0.15455746,0.173309748,29202298,4063252.075,4513433,5061042.9
151,SSA,2003,0.138392147,0.153602914,0.172263985,29808217,4125223.15,4578629,5134882.25
152,SSA,2004,0.137505446,0.152598275,0.171183229,30465862,4189221.95,4649038,5215244.625
153,SSA,2005,0.136651749,0.151571162,0.17001603,31200592,4263615.475,4729110,5304600.775
154,SSA,2006,0.135785933,0.150578791,0.168868832,31907382,4332573.65,4804575,5388162.325
155,SSA,2007,0.135011758,0.149623013,0.167883206,32595935,4400834.5,4877102,5472310.075
156,SSA,2008,0.134223204,0.148727741,0.1668622,33372187,4479321.875,4963370,5568556.525
157,SSA,2009,0.133387062,0.147812377,0.165822112,33968556,4530965.875,5020973,5632737.7
158,SSA,2010,0.132576899,0.146956944,0.164862369,34592309,4586141.05,5083580,5702970.025
159,SSA,2011,0.131709313,0.146077349,0.163963661,35195395,4635561.3,5141250,5770765.8
160,SSA,2012,0.130902815,0.145184782,0.162966203,35673608,4669775.7,5179265,5813592.45
161,SSA,2013,0.13006624,0.144235798,0.161946161,36169086,4704377.025,5216877,5857444.625
162,SSA,2014,0.129170163,0.143288857,0.160965974,36719701,4743089.775,5261524,5910622.45
163,SSA,2015,0.128437501,0.142418521,0.16004089,37285249,4788824.2,5310110,5967164.45
164,SSA,2016,0.127634242,0.141573855,0.159173078,37846861,4830555.4,5358126,6024201.35
165,SSA,2017,0.126840653,0.140798898,0.158390923,38449541,4876964.9,5413653,6090058.275
166,SSA,2018,0.126183139,0.140103027,0.157700954,39106978,4934641.225,5479006,6167207.725
167,SSA,2019,0.125518683,0.139488636,0.15710331,39778122,4992897.475,5548596,6249274.65
168,SSA,2020,0.12492708,0.138844021,0.156476467,40340484,5039618.875,5601035,6312336.425
