"","regionName2","year","estL","est","estU","wpp_lb","estNL","estN","estNU"
"1","AFRO",2010,0.0743780906203929,0.0849251142658113,0.101380608955807,33214003,2470394.125,2820703,3367255.85
"2","AFRO",2011,0.0744686537128104,0.0850643334500809,0.101500246116565,33805120,2517421.775,2875610,3431228
"3","AFRO",2012,0.0745960884669817,0.0852139643923999,0.101673251677738,34301385,2558749.15,2922957,3487533.35
"4","AFRO",2013,0.0747386953598413,0.0853719408802181,0.101903196789451,34754932,2597538.275,2967096,3541638.675
"5","AFRO",2014,0.0748159086965988,0.0854493673613332,0.101936156110593,35274480,2639092.275,3014182,3595744.9
"6","AFRO",2015,0.074908175048555,0.0855387863950415,0.102009389013015,35827408,2683765.75,3064633,3654732
"7","AFRO",2016,0.0749854235555068,0.0856114831527459,0.102123961625987,36363463,2726729.675,3113130,3713580.9
"8","AFRO",2017,0.0751095941566088,0.0857074123404339,0.102404744088125,36962509,2776239.05,3167961,3785136.275
"9","AFRO",2018,0.0751236263579187,0.0857778243340658,0.102504229224795,37603227,2824890.775,3225523,3854489.8
"10","AFRO",2019,0.0751960139829865,0.0858099526039696,0.102552010790029,38227885,2874584.575,3280333,3920346.475
"11","AFRO",2020,0.0752219966686009,0.0859001787566167,0.102755681423559,38730874,2913413.675,3326989,3979817.35
"12","AMRO",2010,0.0801728500990158,0.0837230290549928,0.0886185044618436,15200107,1218635.9,1272599,1347010.75
"13","AMRO",2011,0.0803603568311719,0.0837793403957847,0.0886026653627591,15150358,1217488.175,1269287,1342362.1
"14","AMRO",2012,0.080483857499939,0.0837915353033498,0.0884441644444114,15077776,1213517.575,1263390,1333541.3
"15","AMRO",2013,0.0806735504291785,0.0838737735080062,0.0884424855526966,15003665,1210398.925,1258414,1326961.425
"16","AMRO",2014,0.0810591114800044,0.0841952217670985,0.0887142588891452,15017895,1217337.225,1264435,1332301.425
"17","AMRO",2015,0.0813868309303704,0.0845374916966711,0.0890888619818425,14942802,1216147.3,1263227,1331237.225
"18","AMRO",2016,0.0812839523734332,0.0845391297955983,0.0891743127851768,14692640,1194275.85,1242103,1310206.075
"19","AMRO",2017,0.0815184456421327,0.0848528925674311,0.0895643718867546,14563982,1187233.175,1235796,1304413.9
"20","AMRO",2018,0.0816471459031937,0.0850777354533699,0.0898755591289337,14389123,1174830.825,1224194,1293230.475
"21","AMRO",2019,0.0815536558220913,0.0851493890084308,0.09015674106269,14110342,1150749.975,1201487,1272142.45
"22","AMRO",2020,0.0813796101504635,0.0851108701065858,0.0903577971062893,13845752,1126761.9,1178424,1251071.65
"23","EMRO",2010,0.0635486702467101,0.0793810083865239,0.108926563364161,18216725,1157648.65,1446062,1984285.25
"24","EMRO",2011,0.0636837708593125,0.0795218053182811,0.108648308750896,18596610,1184302.25,1478836,2020490.225
"25","EMRO",2012,0.0638324926854348,0.0797927771102089,0.109546604840026,18956014,1210009.625,1512553,2076566.975
"26","EMRO",2013,0.0639745779353661,0.080023273706502,0.109854036186518,19238878,1230799.1,1539558,2113468.4
"27","EMRO",2014,0.0642704983964385,0.0802477094193474,0.110400679730196,19344440,1243276.8,1552347,2135639.325
"28","EMRO",2015,0.064228512602727,0.0805250489000842,0.111045189786627,19300069,1239614.725,1554139,2143179.825
"29","EMRO",2016,0.0645859881437866,0.0806249966273222,0.111065253025233,19087207,1232766.125,1538906,2119925.475
"30","EMRO",2017,0.064665946962378,0.0807331773711796,0.111469809815965,19066164,1232931.55,1539272,2125301.675
"31","EMRO",2018,0.0650229026076007,0.0811395458169605,0.11223049466388,18986266,1234542.125,1540537,2130838.025
"32","EMRO",2019,0.0652600255775806,0.0816323383870673,0.113612573358305,18872778,1231637.975,1540629,2144184.875
"33","EMRO",2020,0.0652754514968759,0.0818412502480056,0.114152113134057,18931028,1235731.4,1549339,2161016.85
"34","EURO",2010,0.0667659023349832,0.0779083843411214,0.100025617818717,11484194,766752.575,894715,1148713.6
"35","EURO",2011,0.0666654420502318,0.0780403442886645,0.100672600895492,11432151,762129.4,892169,1150904.375
"36","EURO",2012,0.0665522169339785,0.0781781045907414,0.101395480414999,11537962,767876.95,902016,1169897.2
"37","EURO",2013,0.0665482719981642,0.0783011675787049,0.101780619428072,11469548,763278.6,898079,1167377.7
"38","EURO",2014,0.066584055502151,0.0783425043536161,0.101757500154955,11600127,772383.5,908783,1180399.925
"39","EURO",2015,0.0666616091431971,0.0783909810479626,0.101782071673204,11589994,772607.65,908551,1179653.6
"40","EURO",2016,0.0667726697830693,0.0783627503396004,0.101394342516407,11534881,770214.8,903905,1169571.675
"41","EURO",2017,0.067091512304006,0.0781995257365931,0.1001181418093,11142753,747584.15,871358,1115591.725
"42","EURO",2018,0.0672940043428547,0.0781607406745426,0.0995835008590837,10898822,733425.375,851860,1085342.85
"43","EURO",2019,0.0675219222257327,0.0780907741606272,0.0987840406404212,10600087,715738.25,827769,1047119.425
"44","EURO",2020,0.0676400903875898,0.0781161456893144,0.0985732315686699,10408066,704002.525,813038,1025956.7
"45","Not Classified",2010,0.059109473497292,0.0683580455177721,0.0791459498653408,135156,7989,9239,10697.05
"46","Not Classified",2011,0.0590368506766181,0.0683848069465643,0.0792081413266536,136931,8083.975,9364,10846.05
"47","Not Classified",2012,0.0588787229266385,0.0684156788344425,0.0793865905848787,138097,8130.975,9448,10963.05
"48","Not Classified",2013,0.0586848923849947,0.0684412823614461,0.0796073680669382,139711,8198.925,9562,11122.025
"49","Not Classified",2014,0.0583127841565847,0.0684707909798455,0.0800508942394586,142747,8323.975,9774,11427.025
"50","Not Classified",2015,0.058023097826087,0.0684510869565217,0.0804825067934783,147200,8541,10076,11847.025
"51","Not Classified",2016,0.0575554739262343,0.0684529883134022,0.0810647184468661,147006,8461,10063,11917
"52","Not Classified",2017,0.0570793004952428,0.0684709121920145,0.0817597558720178,145989,8332.95,9996,11936.025
"53","Not Classified",2018,0.0566799060269518,0.0684749359274671,0.0824954529170226,145148,8226.975,9939,11974.05
"54","Not Classified",2019,0.0560607836512938,0.0685126069539917,0.0834261819234826,145039,8131,9937,12100.05
"55","Not Classified",2020,0.0554995163741882,0.068571231173138,0.0843305236976648,144740,8033,9925,12206
"56","SEARO",2010,0.0664399126818033,0.0723472853737261,0.0811001756967349,37818005,2512624.95,2736030,3067046.85
"57","SEARO",2011,0.0668917181297487,0.0728053543084774,0.0816264951014503,37586329,2514214.125,2736486,3068040.3
"58","SEARO",2012,0.0675354040930175,0.073395858912197,0.0822633452199139,37228817,2514263.2,2732441,3062567.025
"59","SEARO",2013,0.0681867085721059,0.0740736062608691,0.082919886813591,36814314,2510246.9,2726969,3052638.75
"60","SEARO",2014,0.0688751369984285,0.0748694094444604,0.0839100288913248,35869937,2470546.825,2685561,3009847.45
"61","SEARO",2015,0.0694537095640599,0.0754404395238818,0.0844859402203052,35674421,2477720.875,2691294,3013987
"62","SEARO",2016,0.0700450237515416,0.0760862554252258,0.0851225606719658,35549903,2490093.8,2704859,3026098.775
"63","SEARO",2017,0.0706460621505402,0.0767564928148518,0.0858813152301404,34864347,2463028.825,2676065,2994195.975
"64","SEARO",2018,0.0712910389416039,0.0774960530805984,0.0866868314435988,34727717,2475775.025,2691261,3010435.75
"65","SEARO",2019,0.0719595949549464,0.0783267199463477,0.0877243589311278,34104058,2454114.2,2671259,2991756.625
"66","SEARO",2020,0.0724510147562877,0.0790400141515987,0.0887103536723354,33579245,2432850.375,2654104,2978826.7
"67","WPRO",2010,0.0606333890299965,0.0691451986490028,0.0805516740041635,25158898,1525469.25,1739617,2026591.35
"68","WPRO",2011,0.0609497967589737,0.0692220082768157,0.080358610890238,25004302,1524007.125,1730848,2009310.975
"69","WPRO",2012,0.0607901388522371,0.0689592599376277,0.0798552078124402,26506955,1611361.475,1827900,2116718.4
"70","WPRO",2013,0.0613144010834677,0.0693527629799399,0.0801463599758066,25555723,1566933.85,1772360,2048198.175
"71","WPRO",2014,0.0612437015290917,0.0692537934775103,0.0799278902684877,25981306,1591191.35,1799304,2076630.975
"72","WPRO",2015,0.0616822732151839,0.0697371959049836,0.0805075825019541,24690597,1522972.15,1721853,1987780.275
"73","WPRO",2016,0.0614027568209873,0.0694579899467421,0.080310740188969,25437923,1561958.6,1766867,2042938.425
"74","WPRO",2017,0.0613433332172601,0.0694728406152393,0.0804391662059398,25472429,1562563.7,1769642,2048980.95
"75","WPRO",2018,0.0622708393427685,0.0705835497915563,0.0819123568272459,22492408,1400621.125,1587594,1842406.15
"76","WPRO",2019,0.0625666143253063,0.0710612058805196,0.0827565433314475,21545103,1348004.15,1531021,1782998.25
"77","WPRO",2020,0.0635093180122724,0.0723512648851963,0.0846626739286744,19127309,1214762.35,1383885,1619369.125
